Time,W,Wh
2021/1/7 0:00,196.65,196.65
2021/1/7 1:00,168.15,168.15
2021/1/7 2:00,139.65,139.65
2021/1/7 3:00,149.15,149.15
2021/1/7 4:00,149.15,149.15
2021/1/7 5:00,158.65,158.65
2021/1/7 6:00,216.6,216.6
2021/1/7 7:00,313.5,313.5
2021/1/7 8:00,361.95,361.95
2021/1/7 9:00,371.45,371.45
2021/1/7 10:00,333.45,333.45
2021/1/7 11:00,295.45,295.45
2021/1/7 12:00,323.95,323.95
2021/1/7 13:00,323.95,323.95
2021/1/7 14:00,295.45,295.45
2021/1/7 15:00,294.5,294.5
2021/1/7 16:00,304,304
2021/1/7 17:00,314.45,314.45
2021/1/7 18:00,353.4,353.4
2021/1/7 19:00,514.9,514.9
2021/1/7 20:00,521.55,521.55
2021/1/7 21:00,483.55,483.55
2021/1/7 22:00,416.1,416.1
2021/1/7 23:00,302.1,302.1
2021/1/8 0:00,134.55,134.55
2021/1/8 1:00,115.05,115.05
2021/1/8 2:00,95.55,95.55
2021/1/8 3:00,102.05,102.05
2021/1/8 4:00,102.05,102.05
2021/1/8 5:00,108.55,108.55
2021/1/8 6:00,148.2,148.2
2021/1/8 7:00,214.5,214.5
2021/1/8 8:00,247.65,247.65
2021/1/8 9:00,254.15,254.15
2021/1/8 10:00,228.15,228.15
2021/1/8 11:00,202.15,202.15
2021/1/8 12:00,221.65,221.65
2021/1/8 13:00,221.65,221.65
2021/1/8 14:00,202.15,202.15
2021/1/8 15:00,201.5,201.5
2021/1/8 16:00,208,208
2021/1/8 17:00,215.15,215.15
2021/1/8 18:00,241.8,241.8
2021/1/8 19:00,352.3,352.3
2021/1/8 20:00,356.85,356.85
2021/1/8 21:00,330.85,330.85
2021/1/8 22:00,284.7,284.7
2021/1/8 23:00,206.7,206.7
2021/1/9 0:00,182.16,182.16
2021/1/9 1:00,155.76,155.76
2021/1/9 2:00,129.36,129.36
2021/1/9 3:00,138.16,138.16
2021/1/9 4:00,138.16,138.16
2021/1/9 5:00,146.96,146.96
2021/1/9 6:00,200.64,200.64
2021/1/9 7:00,290.4,290.4
2021/1/9 8:00,335.28,335.28
2021/1/9 9:00,344.08,344.08
2021/1/9 10:00,308.88,308.88
2021/1/9 11:00,273.68,273.68
2021/1/9 12:00,300.08,300.08
2021/1/9 13:00,300.08,300.08
2021/1/9 14:00,273.68,273.68
2021/1/9 15:00,272.8,272.8
2021/1/9 16:00,281.6,281.6
2021/1/9 17:00,291.28,291.28
2021/1/9 18:00,327.36,327.36
2021/1/9 19:00,476.96,476.96
2021/1/9 20:00,483.12,483.12
2021/1/9 21:00,447.92,447.92
2021/1/9 22:00,385.44,385.44
2021/1/9 23:00,279.84,279.84
2021/1/10 0:00,207,207
2021/1/10 1:00,177,177
2021/1/10 2:00,147,147
2021/1/10 3:00,157,157
2021/1/10 4:00,157,157
2021/1/10 5:00,167,167
2021/1/10 6:00,228,228
2021/1/10 7:00,330,330
2021/1/10 8:00,381,381
2021/1/10 9:00,391,391
2021/1/10 10:00,351,351
2021/1/10 11:00,311,311
2021/1/10 12:00,341,341
2021/1/10 13:00,341,341
2021/1/10 14:00,311,311
2021/1/10 15:00,310,310
2021/1/10 16:00,320,320
2021/1/10 17:00,331,331
2021/1/10 18:00,372,372
2021/1/10 19:00,542,542
2021/1/10 20:00,549,549
2021/1/10 21:00,509,509
2021/1/10 22:00,438,438
2021/1/10 23:00,318,318
2021/1/11 0:00,207,207
2021/1/11 1:00,177,177
2021/1/11 2:00,147,147
2021/1/11 3:00,157,157
2021/1/11 4:00,157,157
2021/1/11 5:00,167,167
2021/1/11 6:00,228,228
2021/1/11 7:00,330,330
2021/1/11 8:00,381,381
2021/1/11 9:00,391,391
2021/1/11 10:00,351,351
2021/1/11 11:00,311,311
2021/1/11 12:00,341,341
2021/1/11 13:00,341,341
2021/1/11 14:00,311,311
2021/1/11 15:00,310,310
2021/1/11 16:00,320,320
2021/1/11 17:00,331,331
2021/1/11 18:00,372,372
2021/1/11 19:00,542,542
2021/1/11 20:00,549,549
2021/1/11 21:00,509,509
2021/1/11 22:00,438,438
2021/1/11 23:00,318,318
2021/1/12 0:00,165.6,165.6
2021/1/12 1:00,141.6,141.6
2021/1/12 2:00,117.6,117.6
2021/1/12 3:00,125.6,125.6
2021/1/12 4:00,125.6,125.6
2021/1/12 5:00,133.6,133.6
2021/1/12 6:00,182.4,182.4
2021/1/12 7:00,264,264
2021/1/12 8:00,304.8,304.8
2021/1/12 9:00,312.8,312.8
2021/1/12 10:00,280.8,280.8
2021/1/12 11:00,248.8,248.8
2021/1/12 12:00,272.8,272.8
2021/1/12 13:00,272.8,272.8
2021/1/12 14:00,248.8,248.8
2021/1/12 15:00,248,248
2021/1/12 16:00,256,256
2021/1/12 17:00,264.8,264.8
2021/1/12 18:00,297.6,297.6
2021/1/12 19:00,433.6,433.6
2021/1/12 20:00,439.2,439.2
2021/1/12 21:00,407.2,407.2
2021/1/12 22:00,350.4,350.4
2021/1/12 23:00,254.4,254.4
2021/1/13 0:00,186.3,186.3
2021/1/13 1:00,159.3,159.3
2021/1/13 2:00,132.3,132.3
2021/1/13 3:00,141.3,141.3
2021/1/13 4:00,141.3,141.3
2021/1/13 5:00,150.3,150.3
2021/1/13 6:00,205.2,205.2
2021/1/13 7:00,297,297
2021/1/13 8:00,342.9,342.9
2021/1/13 9:00,351.9,351.9
2021/1/13 10:00,315.9,315.9
2021/1/13 11:00,279.9,279.9
2021/1/13 12:00,306.9,306.9
2021/1/13 13:00,306.9,306.9
2021/1/13 14:00,279.9,279.9
2021/1/13 15:00,279,279
2021/1/13 16:00,288,288
2021/1/13 17:00,297.9,297.9
2021/1/13 18:00,334.8,334.8
2021/1/13 19:00,487.8,487.8
2021/1/13 20:00,494.1,494.1
2021/1/13 21:00,458.1,458.1
2021/1/13 22:00,394.2,394.2
2021/1/13 23:00,286.2,286.2
2021/1/14 0:00,124.2,124.2
2021/1/14 1:00,106.2,106.2
2021/1/14 2:00,88.2,88.2
2021/1/14 3:00,94.2,94.2
2021/1/14 4:00,94.2,94.2
2021/1/14 5:00,100.2,100.2
2021/1/14 6:00,136.8,136.8
2021/1/14 7:00,198,198
2021/1/14 8:00,228.6,228.6
2021/1/14 9:00,234.6,234.6
2021/1/14 10:00,210.6,210.6
2021/1/14 11:00,186.6,186.6
2021/1/14 12:00,204.6,204.6
2021/1/14 13:00,204.6,204.6
2021/1/14 14:00,186.6,186.6
2021/1/14 15:00,186,186
2021/1/14 16:00,192,192
2021/1/14 17:00,198.6,198.6
2021/1/14 18:00,223.2,223.2
2021/1/14 19:00,325.2,325.2
2021/1/14 20:00,329.4,329.4
2021/1/14 21:00,305.4,305.4
2021/1/14 22:00,262.8,262.8
2021/1/14 23:00,190.8,190.8
2021/1/15 0:00,175.95,175.95
2021/1/15 1:00,150.45,150.45
2021/1/15 2:00,124.95,124.95
2021/1/15 3:00,133.45,133.45
2021/1/15 4:00,133.45,133.45
2021/1/15 5:00,141.95,141.95
2021/1/15 6:00,193.8,193.8
2021/1/15 7:00,280.5,280.5
2021/1/15 8:00,323.85,323.85
2021/1/15 9:00,332.35,332.35
2021/1/15 10:00,298.35,298.35
2021/1/15 11:00,264.35,264.35
2021/1/15 12:00,289.85,289.85
2021/1/15 13:00,289.85,289.85
2021/1/15 14:00,264.35,264.35
2021/1/15 15:00,263.5,263.5
2021/1/15 16:00,272,272
2021/1/15 17:00,281.35,281.35
2021/1/15 18:00,316.2,316.2
2021/1/15 19:00,460.7,460.7
2021/1/15 20:00,466.65,466.65
2021/1/15 21:00,432.65,432.65
2021/1/15 22:00,372.3,372.3
2021/1/15 23:00,270.3,270.3
2021/1/16 0:00,196.65,196.65
2021/1/16 1:00,168.15,168.15
2021/1/16 2:00,139.65,139.65
2021/1/16 3:00,149.15,149.15
2021/1/16 4:00,149.15,149.15
2021/1/16 5:00,158.65,158.65
2021/1/16 6:00,216.6,216.6
2021/1/16 7:00,313.5,313.5
2021/1/16 8:00,361.95,361.95
2021/1/16 9:00,371.45,371.45
2021/1/16 10:00,333.45,333.45
2021/1/16 11:00,295.45,295.45
2021/1/16 12:00,323.95,323.95
2021/1/16 13:00,323.95,323.95
2021/1/16 14:00,295.45,295.45
2021/1/16 15:00,294.5,294.5
2021/1/16 16:00,304,304
2021/1/16 17:00,314.45,314.45
2021/1/16 18:00,353.4,353.4
2021/1/16 19:00,514.9,514.9
2021/1/16 20:00,521.55,521.55
2021/1/16 21:00,483.55,483.55
2021/1/16 22:00,416.1,416.1
2021/1/16 23:00,302.1,302.1
2021/1/17 0:00,134.55,134.55
2021/1/17 1:00,115.05,115.05
2021/1/17 2:00,95.55,95.55
2021/1/17 3:00,102.05,102.05
2021/1/17 4:00,102.05,102.05
2021/1/17 5:00,108.55,108.55
2021/1/17 6:00,148.2,148.2
2021/1/17 7:00,214.5,214.5
2021/1/17 8:00,247.65,247.65
2021/1/17 9:00,254.15,254.15
2021/1/17 10:00,228.15,228.15
2021/1/17 11:00,202.15,202.15
2021/1/17 12:00,221.65,221.65
2021/1/17 13:00,221.65,221.65
2021/1/17 14:00,202.15,202.15
2021/1/17 15:00,201.5,201.5
2021/1/17 16:00,208,208
2021/1/17 17:00,215.15,215.15
2021/1/17 18:00,241.8,241.8
2021/1/17 19:00,352.3,352.3
2021/1/17 20:00,356.85,356.85
2021/1/17 21:00,330.85,330.85
2021/1/17 22:00,284.7,284.7
2021/1/17 23:00,206.7,206.7
2021/1/18 0:00,182.16,182.16
2021/1/18 1:00,155.76,155.76
2021/1/18 2:00,129.36,129.36
2021/1/18 3:00,138.16,138.16
2021/1/18 4:00,138.16,138.16
2021/1/18 5:00,146.96,146.96
2021/1/18 6:00,200.64,200.64
2021/1/18 7:00,290.4,290.4
2021/1/18 8:00,335.28,335.28
2021/1/18 9:00,344.08,344.08
2021/1/18 10:00,308.88,308.88
2021/1/18 11:00,273.68,273.68
2021/1/18 12:00,300.08,300.08
2021/1/18 13:00,300.08,300.08
2021/1/18 14:00,273.68,273.68
2021/1/18 15:00,272.8,272.8
2021/1/18 16:00,281.6,281.6
2021/1/18 17:00,291.28,291.28
2021/1/18 18:00,327.36,327.36
2021/1/18 19:00,476.96,476.96
2021/1/18 20:00,483.12,483.12
2021/1/18 21:00,447.92,447.92
2021/1/18 22:00,385.44,385.44
2021/1/18 23:00,279.84,279.84
2021/1/19 0:00,207,207
2021/1/19 1:00,177,177
2021/1/19 2:00,147,147
2021/1/19 3:00,157,157
2021/1/19 4:00,157,157
2021/1/19 5:00,167,167
2021/1/19 6:00,228,228
2021/1/19 7:00,330,330
2021/1/19 8:00,381,381
2021/1/19 9:00,391,391
2021/1/19 10:00,351,351
2021/1/19 11:00,311,311
2021/1/19 12:00,341,341
2021/1/19 13:00,341,341
2021/1/19 14:00,311,311
2021/1/19 15:00,310,310
2021/1/19 16:00,320,320
2021/1/19 17:00,331,331
2021/1/19 18:00,372,372
2021/1/19 19:00,542,542
2021/1/19 20:00,549,549
2021/1/19 21:00,509,509
2021/1/19 22:00,438,438
2021/1/19 23:00,318,318
2021/1/20 0:00,207,207
2021/1/20 1:00,177,177
2021/1/20 2:00,147,147
2021/1/20 3:00,157,157
2021/1/20 4:00,157,157
2021/1/20 5:00,167,167
2021/1/20 6:00,228,228
2021/1/20 7:00,330,330
2021/1/20 8:00,381,381
2021/1/20 9:00,391,391
2021/1/20 10:00,351,351
2021/1/20 11:00,311,311
2021/1/20 12:00,341,341
2021/1/20 13:00,341,341
2021/1/20 14:00,311,311
2021/1/20 15:00,310,310
2021/1/20 16:00,320,320
2021/1/20 17:00,331,331
2021/1/20 18:00,372,372
2021/1/20 19:00,542,542
2021/1/20 20:00,549,549
2021/1/20 21:00,509,509
2021/1/20 22:00,438,438
2021/1/20 23:00,318,318
2021/1/21 0:00,165.6,165.6
2021/1/21 1:00,141.6,141.6
2021/1/21 2:00,117.6,117.6
2021/1/21 3:00,125.6,125.6
2021/1/21 4:00,125.6,125.6
2021/1/21 5:00,133.6,133.6
2021/1/21 6:00,182.4,182.4
2021/1/21 7:00,264,264
2021/1/21 8:00,304.8,304.8
2021/1/21 9:00,312.8,312.8
2021/1/21 10:00,280.8,280.8
2021/1/21 11:00,248.8,248.8
2021/1/21 12:00,272.8,272.8
2021/1/21 13:00,272.8,272.8
2021/1/21 14:00,248.8,248.8
2021/1/21 15:00,248,248
2021/1/21 16:00,256,256
2021/1/21 17:00,264.8,264.8
2021/1/21 18:00,297.6,297.6
2021/1/21 19:00,433.6,433.6
2021/1/21 20:00,439.2,439.2
2021/1/21 21:00,407.2,407.2
2021/1/21 22:00,350.4,350.4
2021/1/21 23:00,254.4,254.4
2021/1/22 0:00,186.3,186.3
2021/1/22 1:00,159.3,159.3
2021/1/22 2:00,132.3,132.3
2021/1/22 3:00,141.3,141.3
2021/1/22 4:00,141.3,141.3
2021/1/22 5:00,150.3,150.3
2021/1/22 6:00,205.2,205.2
2021/1/22 7:00,297,297
2021/1/22 8:00,342.9,342.9
2021/1/22 9:00,351.9,351.9
2021/1/22 10:00,315.9,315.9
2021/1/22 11:00,279.9,279.9
2021/1/22 12:00,306.9,306.9
2021/1/22 13:00,306.9,306.9
2021/1/22 14:00,279.9,279.9
2021/1/22 15:00,279,279
2021/1/22 16:00,288,288
2021/1/22 17:00,297.9,297.9
2021/1/22 18:00,334.8,334.8
2021/1/22 19:00,487.8,487.8
2021/1/22 20:00,494.1,494.1
2021/1/22 21:00,458.1,458.1
2021/1/22 22:00,394.2,394.2
2021/1/22 23:00,286.2,286.2
2021/1/23 0:00,124.2,124.2
2021/1/23 1:00,106.2,106.2
2021/1/23 2:00,88.2,88.2
2021/1/23 3:00,94.2,94.2
2021/1/23 4:00,94.2,94.2
2021/1/23 5:00,100.2,100.2
2021/1/23 6:00,136.8,136.8
2021/1/23 7:00,198,198
2021/1/23 8:00,228.6,228.6
2021/1/23 9:00,234.6,234.6
2021/1/23 10:00,210.6,210.6
2021/1/23 11:00,186.6,186.6
2021/1/23 12:00,204.6,204.6
2021/1/23 13:00,204.6,204.6
2021/1/23 14:00,186.6,186.6
2021/1/23 15:00,186,186
2021/1/23 16:00,192,192
2021/1/23 17:00,198.6,198.6
2021/1/23 18:00,223.2,223.2
2021/1/23 19:00,325.2,325.2
2021/1/23 20:00,329.4,329.4
2021/1/23 21:00,305.4,305.4
2021/1/23 22:00,262.8,262.8
2021/1/23 23:00,190.8,190.8
2021/1/24 0:00,175.95,175.95
2021/1/24 1:00,150.45,150.45
2021/1/24 2:00,124.95,124.95
2021/1/24 3:00,133.45,133.45
2021/1/24 4:00,133.45,133.45
2021/1/24 5:00,141.95,141.95
2021/1/24 6:00,193.8,193.8
2021/1/24 7:00,280.5,280.5
2021/1/24 8:00,323.85,323.85
2021/1/24 9:00,332.35,332.35
2021/1/24 10:00,298.35,298.35
2021/1/24 11:00,264.35,264.35
2021/1/24 12:00,289.85,289.85
2021/1/24 13:00,289.85,289.85
2021/1/24 14:00,264.35,264.35
2021/1/24 15:00,263.5,263.5
2021/1/24 16:00,272,272
2021/1/24 17:00,281.35,281.35
2021/1/24 18:00,316.2,316.2
2021/1/24 19:00,460.7,460.7
2021/1/24 20:00,466.65,466.65
2021/1/24 21:00,432.65,432.65
2021/1/24 22:00,372.3,372.3
2021/1/24 23:00,270.3,270.3
2021/1/25 0:00,196.65,196.65
2021/1/25 1:00,168.15,168.15
2021/1/25 2:00,139.65,139.65
2021/1/25 3:00,149.15,149.15
2021/1/25 4:00,149.15,149.15
2021/1/25 5:00,158.65,158.65
2021/1/25 6:00,216.6,216.6
2021/1/25 7:00,313.5,313.5
2021/1/25 8:00,361.95,361.95
2021/1/25 9:00,371.45,371.45
2021/1/25 10:00,333.45,333.45
2021/1/25 11:00,295.45,295.45
2021/1/25 12:00,323.95,323.95
2021/1/25 13:00,323.95,323.95
2021/1/25 14:00,295.45,295.45
2021/1/25 15:00,294.5,294.5
2021/1/25 16:00,304,304
2021/1/25 17:00,314.45,314.45
2021/1/25 18:00,353.4,353.4
2021/1/25 19:00,514.9,514.9
2021/1/25 20:00,521.55,521.55
2021/1/25 21:00,483.55,483.55
2021/1/25 22:00,416.1,416.1
2021/1/25 23:00,302.1,302.1
2021/1/26 0:00,134.55,134.55
2021/1/26 1:00,115.05,115.05
2021/1/26 2:00,95.55,95.55
2021/1/26 3:00,102.05,102.05
2021/1/26 4:00,102.05,102.05
2021/1/26 5:00,108.55,108.55
2021/1/26 6:00,148.2,148.2
2021/1/26 7:00,214.5,214.5
2021/1/26 8:00,247.65,247.65
2021/1/26 9:00,254.15,254.15
2021/1/26 10:00,228.15,228.15
2021/1/26 11:00,202.15,202.15
2021/1/26 12:00,221.65,221.65
2021/1/26 13:00,221.65,221.65
2021/1/26 14:00,202.15,202.15
2021/1/26 15:00,201.5,201.5
2021/1/26 16:00,208,208
2021/1/26 17:00,215.15,215.15
2021/1/26 18:00,241.8,241.8
2021/1/26 19:00,352.3,352.3
2021/1/26 20:00,356.85,356.85
2021/1/26 21:00,330.85,330.85
2021/1/26 22:00,284.7,284.7
2021/1/26 23:00,206.7,206.7
2021/1/27 0:00,182.16,182.16
2021/1/27 1:00,155.76,155.76
2021/1/27 2:00,129.36,129.36
2021/1/27 3:00,138.16,138.16
2021/1/27 4:00,138.16,138.16
2021/1/27 5:00,146.96,146.96
2021/1/27 6:00,200.64,200.64
2021/1/27 7:00,290.4,290.4
2021/1/27 8:00,335.28,335.28
2021/1/27 9:00,344.08,344.08
2021/1/27 10:00,308.88,308.88
2021/1/27 11:00,273.68,273.68
2021/1/27 12:00,300.08,300.08
2021/1/27 13:00,300.08,300.08
2021/1/27 14:00,273.68,273.68
2021/1/27 15:00,272.8,272.8
2021/1/27 16:00,281.6,281.6
2021/1/27 17:00,291.28,291.28
2021/1/27 18:00,327.36,327.36
2021/1/27 19:00,476.96,476.96
2021/1/27 20:00,483.12,483.12
2021/1/27 21:00,447.92,447.92
2021/1/27 22:00,385.44,385.44
2021/1/27 23:00,279.84,279.84
2021/1/28 0:00,207,207
2021/1/28 1:00,177,177
2021/1/28 2:00,147,147
2021/1/28 3:00,157,157
2021/1/28 4:00,157,157
2021/1/28 5:00,167,167
2021/1/28 6:00,228,228
2021/1/28 7:00,330,330
2021/1/28 8:00,381,381
2021/1/28 9:00,391,391
2021/1/28 10:00,351,351
2021/1/28 11:00,311,311
2021/1/28 12:00,341,341
2021/1/28 13:00,341,341
2021/1/28 14:00,311,311
2021/1/28 15:00,310,310
2021/1/28 16:00,320,320
2021/1/28 17:00,331,331
2021/1/28 18:00,372,372
2021/1/28 19:00,542,542
2021/1/28 20:00,549,549
2021/1/28 21:00,509,509
2021/1/28 22:00,438,438
2021/1/28 23:00,318,318
2021/1/29 0:00,207,207
2021/1/29 1:00,177,177
2021/1/29 2:00,147,147
2021/1/29 3:00,157,157
2021/1/29 4:00,157,157
2021/1/29 5:00,167,167
2021/1/29 6:00,228,228
2021/1/29 7:00,330,330
2021/1/29 8:00,381,381
2021/1/29 9:00,391,391
2021/1/29 10:00,351,351
2021/1/29 11:00,311,311
2021/1/29 12:00,341,341
2021/1/29 13:00,341,341
2021/1/29 14:00,311,311
2021/1/29 15:00,310,310
2021/1/29 16:00,320,320
2021/1/29 17:00,331,331
2021/1/29 18:00,372,372
2021/1/29 19:00,542,542
2021/1/29 20:00,549,549
2021/1/29 21:00,509,509
2021/1/29 22:00,438,438
2021/1/29 23:00,318,318
2021/1/30 0:00,165.6,165.6
2021/1/30 1:00,141.6,141.6
2021/1/30 2:00,117.6,117.6
2021/1/30 3:00,125.6,125.6
2021/1/30 4:00,125.6,125.6
2021/1/30 5:00,133.6,133.6
2021/1/30 6:00,182.4,182.4
2021/1/30 7:00,264,264
2021/1/30 8:00,304.8,304.8
2021/1/30 9:00,312.8,312.8
2021/1/30 10:00,280.8,280.8
2021/1/30 11:00,248.8,248.8
2021/1/30 12:00,272.8,272.8
2021/1/30 13:00,272.8,272.8
2021/1/30 14:00,248.8,248.8
2021/1/30 15:00,248,248
2021/1/30 16:00,256,256
2021/1/30 17:00,264.8,264.8
2021/1/30 18:00,297.6,297.6
2021/1/30 19:00,433.6,433.6
2021/1/30 20:00,439.2,439.2
2021/1/30 21:00,407.2,407.2
2021/1/30 22:00,350.4,350.4
2021/1/30 23:00,254.4,254.4
2021/1/31 0:00,186.3,186.3
2021/1/31 1:00,159.3,159.3
2021/1/31 2:00,132.3,132.3
2021/1/31 3:00,141.3,141.3
2021/1/31 4:00,141.3,141.3
2021/1/31 5:00,150.3,150.3
2021/1/31 6:00,205.2,205.2
2021/1/31 7:00,297,297
2021/1/31 8:00,342.9,342.9
2021/1/31 9:00,351.9,351.9
2021/1/31 10:00,315.9,315.9
2021/1/31 11:00,279.9,279.9
2021/1/31 12:00,306.9,306.9
2021/1/31 13:00,306.9,306.9
2021/1/31 14:00,279.9,279.9
2021/1/31 15:00,279,279
2021/1/31 16:00,288,288
2021/1/31 17:00,297.9,297.9
2021/1/31 18:00,334.8,334.8
2021/1/31 19:00,487.8,487.8
2021/1/31 20:00,494.1,494.1
2021/1/31 21:00,458.1,458.1
2021/1/31 22:00,394.2,394.2
2021/1/31 23:00,286.2,286.2
2021/2/1 0:00,124.2,124.2
2021/2/1 1:00,106.2,106.2
2021/2/1 2:00,88.2,88.2
2021/2/1 3:00,94.2,94.2
2021/2/1 4:00,94.2,94.2
2021/2/1 5:00,100.2,100.2
2021/2/1 6:00,136.8,136.8
2021/2/1 7:00,198,198
2021/2/1 8:00,228.6,228.6
2021/2/1 9:00,234.6,234.6
2021/2/1 10:00,210.6,210.6
2021/2/1 11:00,186.6,186.6
2021/2/1 12:00,204.6,204.6
2021/2/1 13:00,204.6,204.6
2021/2/1 14:00,186.6,186.6
2021/2/1 15:00,186,186
2021/2/1 16:00,192,192
2021/2/1 17:00,198.6,198.6
2021/2/1 18:00,223.2,223.2
2021/2/1 19:00,325.2,325.2
2021/2/1 20:00,329.4,329.4
2021/2/1 21:00,305.4,305.4
2021/2/1 22:00,262.8,262.8
2021/2/1 23:00,190.8,190.8
2021/2/2 0:00,175.95,175.95
2021/2/2 1:00,150.45,150.45
2021/2/2 2:00,124.95,124.95
2021/2/2 3:00,133.45,133.45
2021/2/2 4:00,133.45,133.45
2021/2/2 5:00,141.95,141.95
2021/2/2 6:00,193.8,193.8
2021/2/2 7:00,280.5,280.5
2021/2/2 8:00,323.85,323.85
2021/2/2 9:00,332.35,332.35
2021/2/2 10:00,298.35,298.35
2021/2/2 11:00,264.35,264.35
2021/2/2 12:00,289.85,289.85
2021/2/2 13:00,289.85,289.85
2021/2/2 14:00,264.35,264.35
2021/2/2 15:00,263.5,263.5
2021/2/2 16:00,272,272
2021/2/2 17:00,281.35,281.35
